topic_id,bias_id,topic,title,source,bias,desc.
1,4,coronavirus- Lean Right,CDC: No Record of Naturally Immune Transmitting COVID-19,The Epoch Times, Lean Right,The Centers for Disease Control and Prevention (CDC) says that it has no record of people who are naturally immune transmitting the virus that causes COVID-19...
1,5,coronavirus- Right,Pfizer Announces Deal To Provide COVID Pill To Low-Income Countries,The Daily Wire, Right,"In an agreement announced on Tuesday, Pfizer will permit its COVID-19 pill treatment to be manufactured and sold in countries that might not be able to..."
1,5,coronavirus- Right,How COVID Lockdowns Handed Global Warming Extremists The Tools To Crush Freedom,The Federalist, Right,"We’ve rolled out the blueprint for a society that is nominally free, but willing to throw freedom away in a crisis.

The Glasgow Climate Conference wrapped..."
1,4,coronavirus- Lean Right,Why COVID-19 is spiking in highly vaccinated states,Deseret News, Lean Right,"The coronavirus pandemic is still going. And as we head into the winter months, there are a number of questions about what might happen in states..."
1,4,coronavirus- Lean Right,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice..."
2,4,vaccine-mandates- Lean Right,Jobs vs. jabs: Federal court upholds stay on Biden’s ‘sledgehammer’ vaccine mandate,Deseret News, Lean Right,"A federal appeals court late Friday upheld its stay of the Biden administration’s vaccine mandate for larger businesses, saying it leaves workers with a choice..."
2,4,vaccine-mandates- Lean Right,Senior NIH Doctor Pushes Back on COVID-19 Vaccine Mandates,The Epoch Times, Lean Right,"A top infectious disease doctor has raised alarm about COVID-19 vaccine mandates despite top federal officials recommending them for businesses,..."
2,4,vaccine-mandates- Lean Right,VA: Religious Exemption Requests for Vaccine Won't Be Challenged,Newsmax (News), Lean Right,"The Department of Veteran Affairs (VA) will not challenge staff on religious exemption requests for the coronavirus vaccine, the Washington Examiner ..."
2,4,vaccine-mandates- Lean Right,Hundreds of Thousands to Go on Four-Day Nationwide Strike Over Vaccine Mandates: Organizer,The Epoch Times, Lean Right,"A nationwide strike against vaccine mandates will take place from Nov. 8 to Nov. 11, according to the main organizer for the walkout, Leigh..."
2,5,vaccine-mandates- Right,Biden administration asks federal appeals court to lift order blocking COVID-19 vaccine mandate,Fox News (Online News), Right,The Biden administration is asking a federal court to lift an order that blocked its rule mandating that larger employers require workers to get...
3,4,economy-jobs- Lean Right,Retail sales accelerate as supply chain crisis causes earlier start to holiday shopping season,Fox Business, Lean Right,Consumer spending accelerated in October as shoppers kicked off the holiday shopping season earlier than usual due to the supply chain bottlenecks. ...
3,4,economy-jobs- Lean Right,Thank the Government for the High Price of Holiday Meals,Reason, Lean Right,"As we head into the holidays, part of the season's cheer will be tarnished by the higher prices we'll all pay for holiday festivities. In fact, food, like many..."
3,4,economy-jobs- Lean Right,How Biden's infrastructure victory lap could disappoint Democrats,Washington Examiner, Lean Right,"President Joe Biden launched a publicity tour touting his newly passed $1.2 trillion bipartisan infrastructure bill, but political operatives in both..."
3,5,economy-jobs- Right,Psaki Says Inflation Is Being Used As A ‘Political Cudgel’,The Daily Wire, Right,"White House Press Secretary Jen Psaki said that inflation is being utilized as a “political cudgel” and predicted that it will decrease next year.

During a..."
3,4,economy-jobs- Lean Right,A record 4.4M Americans quit jobs as 'Great Resignation' gathers momentum,Fox Business, Lean Right,"The number of U.S. workers quitting their jobs surged to a record in September as openings remained near an all-time high. 

The..."
4,5,kyle-rittenhouse- Right,Rittenhouse defense criticizes prosecution's provocation charge in closing arguments: LIVE UPDATES,Fox News (Online News), Right,"Rittenhouse faces charges including first-degree intentional homicide, which is Wisconsin’s murder count; attempted first-degree intentional homicide;..."
4,5,kyle-rittenhouse- Right,"By the time Kyle Rittenhouse testified, he already won the case",Tucker Carlson, Right,"The Kyle Rittenhouse trial continued today in Wisconsin. In a move that surprised lawyers everywhere, Rittenhouse took the stand in his own defense. That..."
4,5,kyle-rittenhouse- Right,Judge Shuts Down Rittenhouse Prosecutor’s Questioning For Possible ‘Grave Constitutional Violation’,The Daily Caller, Right,Judge Bruce Schroeder shut down the Kyle Rittenhouse prosecutor’s questioning for a possible “grave Constitutional violation” Wednesday after the prosecution...
4,5,kyle-rittenhouse- Right,"Trial Explodes: Kyle Rittenhouse Cries on Stand, Judge Berates Prosecutor",National Review, Right,"Kyle Rittenhouse broke down sobbing on the stand while testifying in his own defense on Wednesday, prompting the judge to call a ten-minute recess...."
4,5,kyle-rittenhouse- Right,Kyle Rittenhouse Doesn’t Need Reasonable Doubt. His Prosecutors Do,The Federalist, Right,Prosecutors in the murder trial of Kyle Rittenhouse so far have a case that comes down to this: What if the things our witnesses say they saw and...
5,4,inflation- Lean Right,Retail sales accelerate as supply chain crisis causes earlier start to holiday shopping season,Fox Business, Lean Right,Consumer spending accelerated in October as shoppers kicked off the holiday shopping season earlier than usual due to the supply chain bottlenecks. ...
5,4,inflation- Lean Right,Thank the Government for the High Price of Holiday Meals,Reason, Lean Right,"As we head into the holidays, part of the season's cheer will be tarnished by the higher prices we'll all pay for holiday festivities. In fact, food, like many..."
