,topic,topic_id,bias_id,title,source,bias,desc.,desc_word_count,processed_desc,kmean_clusters
0,Abortion- Lean Left,1,1,Biden’s Authority to Mandate Vaccines Stems From Law Protecting Workers From ‘Grave Dangers’,New York Times (News), Lean Left,President Biden’s far-reaching assertion of presidential authority to require vaccines for 80 million American workers relies on a first-of-its-kind...,19,president biden far reach assertion presidential authority require vaccine 80 million american worker rely kind ...,1
1,Abortion- Lean Right,1,4,When Is a Constitutional Right Not a Right?,Wall Street Journal (Opinion), Lean Right,"If you want to carry a firearm in New York state, you need to convince a local official that you have “proper cause.” That’s easy in some counties but almost...",30,want carry firearm new york state need convince local official proper cause ’ easy county ...,1
2,Abortion - moderate,1,3,"Four impeachments, zero removals: Sign of cracks in Constitution?",Christian Science Monitor,moderate,"A key check on presidential power doesn’t seem to be working the way the Founding Fathers envisioned. We look where a cycle of partisanship may head.

After...",27,key check presidential power work way founding fathers envision look cycle partisanship head ...,1
3,Abortion- Lean Left,1,1,Could Trump Be ‘Reinstated’ as President in August 2021?,Snopes, Lean Left,"On June 1, 2021, New York Times reporter Maggie Haberman tweeted that former President Donald “Trump has been telling a number of people he’s in...",25,june 1 2021 new york times reporter maggie haberman tweet president donald trump tell number people ’ ...,1
4,Abortion- Lean Right,1,4,Why Didn't COVID-19 Kill the Constitution?,Reason, Lean Right,"We can thank judges who were prepared to enforce constitutional limits on public health powers.

The day after the nation's first COVID-19 lockdown took...",24,thank judge prepared enforce constitutional limit public health power day nation covid-19 lockdown ...,1
5,Abortion - moderate,1,3,"After deadly Capitol riot, Trump impeachment trial to open with fight on Constitution",Reuters,moderate,"Donald Trump’s historic second impeachment trial, on a charge of inciting last month’s deadly storming of the U.S. Capitol, opens on Tuesday with a debate over...",26,donald trump historic second impeachment trial charge incite month deadly storming u.s. capitol open tuesday debate ...,1
6,Abortion- Lean Left,1,1,Trump’s lawyers and the Constitution,Associated Press Politics & Fact Check, Lean Left,Lawyers for Donald Trump stretched beyond the facts when they argued there’s an open-and-shut case that the Constitution bars impeaching former presidents....,22,lawyer donald trump stretch fact argue ’ open shut case constitution bar impeach president ....,1
7,Abortion- Lean Right,1,4,Top Trump allies begin legal effort to stop federal government from trampling on constitutional rights,Washington Examiner, Lean Right,"Allies of former President Donald Trump are launching a legal team whose mission is to stop ""big tech, big media and big government"" from trampling on the...",27,ally president donald trump launch legal team mission stop big tech big medium big government trample ...,1
8,Abortion - moderate,1,3,Is it time to get rid of the filibuster?,Yahoo! The 360,moderate,"Democrats hold a legislative trifecta — majorities in both houses of Congress, plus the presidency — for the first time since the beginning of the Obama...",26,democrats hold legislative trifecta — majority house congress plus presidency — time beginning obama ...,1
9,Abortion- Lean Left,1,1,Impeachment: Republicans say ex-President Trump can't be tried but many experts disagree,USA TODAY, Lean Left,"When the Senate gathers Tuesday for the second impeachment trial of former President Donald Trump, Republicans are expected to hammer away at a longstanding...",24,senate gather tuesday second impeachment trial president donald trump republicans expect hammer away longstanding ...,1
10,Abortion- Right,1,5,Policing Speech,City Journal, Right,"Amid a staggering wave of gun violence in New York City, with shootings this year measuring 42 percent higher than the same period in 2020, Mayor Bill de...",28,amid staggering wave gun violence new york city shooting year measure 42 percent high period 2020 mayor bill de ...,1
11,Abortion - moderate,1,3,"Electoral College: Reform it, replace it or keep it?",Yahoo! The 360,moderate,"The members of the Electoral College on Monday cast their votes to affirm Joe Biden’s win in the 2020 presidential election, delivering a decisive blow to...",26,member electoral college monday cast vote affirm joe biden win 2020 presidential election deliver decisive blow ...,1
12,Abortion- Left,1,2,Is it constitutional to hold an impeachment trial for a former president?,Vox, Left,"No one knows whether the Constitution permits the Senate to hold an impeachment trial for former President Donald Trump, now that he no longer holds office...",26,know constitution permit senate hold impeachment trial president donald trump long hold office ...,1
13,Abortion- Right,1,5,Schiff's Defense of Impeachment Comes From....British History,Townhall, Right,"Lawyers for former President Trump will challenge the constitutionality of impeaching a private citizen in the trial that is set to begin Tuesday.

“The...",24,lawyer president trump challenge constitutionality impeach private citizen trial set begin tuesday ...,1
14,Abortion - moderate,1,3,Could President Trump try pardoning himself?,Yahoo! The 360,moderate,President Trump’s decision to pardon former national security adviser Michael Flynn has fueled speculation that Trump may be gearing up to issue a wave of...,25,president trump decision pardon national security adviser michael flynn fuel speculation trump gear issue wave ...,1
15,Bridging Divides- Lean Left,2,1,"Menace, as a Political Tool, Enters the Republican Mainstream",New York Times (News), Lean Left,"Threats of violence have become commonplace among a significant part of the party, as historians and those who study democracy warn of a dark shift in American...",27,threat violence commonplace significant party historian study democracy warn dark shift american ...,1
